,cons_12m,cons_gas_12m,forecast_cons_12m,forecast_meter_rent_12m,forecast_price_energy_off_peak,forecast_price_pow_off_peak,imp_cons,margin_gross_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,churn,date_end_offpeak,date_end_peak,date_renewal_offpeak,date_renewal_peak,id,channel_sales_ewpakwlliwisiwduibdlfmalxowmwpci,channel_sales_foosdfpfkusacimwkcsosbicdxkicaua,channel_sales_lmkebamcaaclubfxadlmueccxoimlema,channel_sales_usilxuppasemubllopkaafesmlibmsdf,origin_up_kamkkxfxxuwbdslkwifmmcsiusiuosws,origin_up_ldkssxwpmemidmecebumciepifcamkci,origin_up_lxidpiddsbxsbosboudacockeimpuepw,overall_consumption_outliers,overall_consumption_outliers_scores
0,0.0,4.739943985767471,0.0,0.44404479591807633,0.114481,40.606701,0.0,1.4222614508136027,2,2.8325025259757175,3,1.6498020095086041,1,0,0,0,1,24011ae4ebbe3035111d65fa7c15bc57,0,1,0,0,0,0,1,-1,-0.018476901891547493
63,1.041392685158225,0.0,1.52,0.884795363948981,0.1457109999999999,44.31137796,0.0,1.3525683861793085,1,0.06445798922691845,5,1.1522883443830565,0,0,0,0,1,4d4a8d5a884e49e2a8f7994b21a3cb18,0,0,1,0,1,0,0,-1,-0.0038904476590118087
108,1.041392685158225,0.0,1.09,2.1187605904423816,0.114603,40.606701,0.0,1.5633624094866074,1,0.04532297878665747,6,1.436162647040756,0,0,1,0,1,88cb009b746ab1b9a55dc5efcd1cc733,0,1,0,0,0,0,1,-1,-0.0038904476590118087
135,0.0,0.0,0.0,2.1219535835452987,0.1169099999999999,40.606701,0.0,1.5086643630529428,1,0.0,5,1.2612628687924936,0,0,0,0,0,6179f9b2f03fe9aaceb4f82e67d0842a,0,0,0,0,0,1,0,-1,-0.035783664277170946
161,1.0,0.0,1.38,1.361160995195026,0.146694,44.31137796,0.0,1.3937506403480804,1,0.06069784035361165,5,1.0565999762927811,0,1,0,1,0,0e9534a8931bd6e63f12a888d1c43476,0,0,0,0,0,1,0,-1,-0.0038904476590118087
268,0.0,0.0,0.0,2.13325141247232,0.092453,59.17346796,0.0,0.0,1,0.0,6,1.2304489213782739,0,1,0,1,0,bac4c08b69328cf2fec32431977ffb99,0,0,0,0,0,1,0,-1,-0.035783664277170946
344,0.0,0.0,0.0,2.1229036491733244,0.1169,40.606701,0.0,2.2631150761813412,1,0.0,6,1.8692317197309762,0,1,0,1,0,0ea1b04911beee36e66c68e004991459,0,0,0,0,0,1,0,-1,-0.035783664277170946
392,0.0,0.0,0.0,0.8981764834976765,0.1457109999999999,44.31137796,0.0,1.4493240930987268,1,3.2039380837538864,7,1.1522883443830565,1,0,0,0,1,d15ef55fdbf63ef2bddfd1bd67959ab4,0,0,0,0,0,1,0,-1,-0.035783664277170946
393,0.0,0.0,0.0,0.0,0.144902,44.31137796,0.0,1.2232362731029975,1,0.0,6,1.1522883443830565,0,0,1,0,1,31b7cb25896669d9e6e67e3c86b3d39d,0,0,0,0,0,1,0,-1,-0.035783664277170946
414,0.0,0.0,0.0,0.0,0.140103,44.31137796,0.0,1.5330090224954853,1,2.1835545336188615,5,1.1522883443830565,0,1,0,1,0,55de55ac6344f0bea14b08076fdddcac,0,1,0,0,0,0,1,-1,-0.035783664277170946
