,cons_12m,cons_gas_12m,forecast_cons_12m,forecast_meter_rent_12m,forecast_price_energy_off_peak,forecast_price_pow_off_peak,imp_cons,margin_gross_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,churn,date_end_offpeak,date_end_peak,date_renewal_offpeak,date_renewal_peak,id,channel_sales_ewpakwlliwisiwduibdlfmalxowmwpci,channel_sales_foosdfpfkusacimwkcsosbicdxkicaua,channel_sales_lmkebamcaaclubfxadlmueccxoimlema,channel_sales_usilxuppasemubllopkaafesmlibmsdf,origin_up_kamkkxfxxuwbdslkwifmmcsiusiuosws,origin_up_ldkssxwpmemidmecebumciepifcamkci,origin_up_lxidpiddsbxsbosboudacockeimpuepw,overall_consumption_outliers,overall_consumption_outliers_scores,electricity_to_net_outliers,electricity_to_net_outliers_scores,overall_consumption,overall_consumption_to_net_outliers,overall_consumption_to_net_outliers_scores
367,6.550263584530453,6.146551886322501,0.0,2.130044142287604,0.1152369999999999,41.27136420000001,0.0,1.8307169494368976,2,0.0,4,1.550228353055094,0,0,0,0,0,d89ecb8a0b875c931bcb094b2f32b006,0,0,1,0,1,0,0,1,0.02384067857413008,1,0.08239273609663833,12.696815470852954,-1,-0.029990890394085534
822,6.550263584530453,6.146551886322501,40.32,2.1243737864846297,0.1169,40.606701,1.3374592612906562,1.7895807121644254,2,0.13353890837021748,4,1.40224418233262,0,1,0,1,0,893a9debddaaf96213274575d3a68b72,0,0,1,0,1,0,0,1,0.02384067857413008,1,0.08977958608361569,12.696815470852954,-1,-0.031037283599353316
1555,1.4471580313422192,0.0,3.83,1.1696744340588068,0.140621,44.31137796,0.5314789170422551,0.9444826721501687,1,0.012837224705172217,4,1.0565999762927811,0,0,0,0,0,3e77aab5653d9a02000c7d6eb32c8750,0,1,0,0,0,0,1,1,0.008548679155430339,1,0.01977516705447624,1.4471580313422192,-1,-0.002741396162417864
2025,5.660560036945031,5.973263203020483,0.0,1.5128177585648732,0.167095,46.31137836,0.0,1.3332456989619628,2,0.0,6,1.0565999762927811,0,1,0,1,0,e609b20db76e7b2e3a56ba60baefe427,0,0,1,0,0,0,1,1,0.0512465193623447,1,0.21266808519576552,11.633823239965515,-1,-0.01754399599306178
2644,5.660560036945031,5.973263203020483,0.0,1.5128177585648732,0.167095,46.31137836,0.0,1.4530123911214552,2,0.0,6,1.171901890731724,0,1,0,1,0,c4a0edfd0a91512fc9dcaa8b6e7faee5,0,0,1,0,0,0,1,1,0.0512465193623447,1,0.22973458477299658,11.633823239965515,-1,-0.01754399599306178
2724,5.4204541579502195,5.184504047681038,0.0,2.1690863574870227,0.120372,40.606701,0.0,2.261286665098458,2,0.0,6,1.9084850188786497,0,0,0,0,0,c0108757957b68a4bb778b25725f0382,0,1,0,0,0,0,0,1,0.10760023520304685,1,0.041404212911591354,10.604958205631258,-1,-0.005803889834693932
3652,6.022190743393823,5.821631420406194,0.0,2.154849841520744,0.1152369999999999,41.27136420000001,0.0,1.5032457714651126,2,0.0,11,1.2041471252128475,0,0,0,0,0,bf3176135b8a6232a5bcb29efe808c35,0,0,0,0,0,1,0,1,0.06326592813738596,1,0.2026513698536373,11.843822163800017,-1,-0.01754399599306178
4623,1.255272505103306,0.0,2.49,1.3036279763838898,0.141434,44.31137796,0.0,1.2232362731029975,1,0.06445798922691845,6,1.1522883443830565,0,0,1,0,1,495987a35340ccba2c0c3cfe9c20a2ef,0,0,0,0,0,1,0,1,0.0,1,0.05090003428067358,1.255272505103306,-1,-0.001733266283293955
5221,6.390862012369013,5.735624445681064,1.03,1.2370407913791908,0.1457109999999999,44.31137796,0.11394335230683678,1.1583624920952498,9,0.02530586526477026,4,1.171901890731724,0,0,1,0,0,56b3eb456cde58bc15f5f5fbc108117a,0,0,0,0,0,1,0,1,0.06715391812990879,1,0.15723501510077154,12.126486458050078,-1,-0.021153485780732284
6902,5.956626983915055,5.957441102914551,0.0,2.1631017150439753,0.1169019999999999,40.606701,0.0,1.9213742954184745,2,0.0,6,1.5314789170422551,0,1,0,1,0,ebed5f55a84cc5cae43c49718d81b600,0,1,0,0,0,0,1,1,0.05440627434153855,1,0.10384480215422487,11.914068086829605,-1,-0.01754399599306178
7790,6.459784080974801,5.989775416443835,5.48,1.2362852774480284,0.165794,44.31137796,0.0,1.5330090224954853,2,0.23552844690754893,6,1.1532049000842843,0,1,0,1,0,c687aef4ff2813da803d4270ecd25fab,0,0,0,0,1,0,0,1,0.042787510666706385,1,0.15775348297173653,12.449559497418637,-1,-0.018058591353910747
9353,1.5185139398778875,0.0,2.86,1.1714339009430081,0.16695,44.31137796,0.0,1.1258064581395268,1,0.07554696139253074,4,1.0565999762927811,0,0,1,0,1,d9db8fa5feaac4523fbce5eede33547c,0,0,0,1,0,0,1,1,0.01792781602600957,1,0.041393276730684936,1.5185139398778875,-1,-0.00022362698441780182
10386,5.95305236094352,5.743191374474329,0.0,2.513643692309038,0.097138,59.17346796,0.0,0.04921802267018165,2,0.0,4,1.8842287696326039,0,0,0,0,0,5fa443de7bd82539d38248249677ee86,0,0,1,0,0,0,1,1,0.07058323569727531,1,0.016270693367292255,11.696243735417848,-1,-0.01908882716929927
10609,1.1760912590556813,0.0,2.05,1.2835273648616936,0.14317,44.31137796,0.23804610312879543,1.1942367487238292,1,0.04139268515822507,4,1.0565999762927811,0,0,1,0,1,ad6ff08e9194cb67693781ec69095683,1,0,0,0,0,0,1,1,0.0,1,0.056428612728020466,1.1760912590556813,-1,-0.0022371607011424377
12378,5.73550229036474,6.1630277253431265,0.0,1.1872386198314788,0.144902,44.31137796,0.0,1.044539760392411,2,0.0,5,1.0565999762927811,0,0,1,0,1,74653f27523e5fd5de379148087796e9,0,0,1,0,1,0,0,1,0.036191313695486005,1,0.16787505875720055,11.898530015707866,-1,-0.01754399599306178
